N,threads,trial,seconds,std_seconds,validate
2000,6,1,0.294897,,OK
2000,6,2,0.285512,,OK
2000,6,3,0.285873,,OK
2000,6,4,0.293454,,OK
2000,6,5,0.284957,,OK
2000,6,6,0.288560,,OK
2000,6,7,0.292420,,OK
2000,6,8,0.285606,,OK
2000,6,9,0.287569,,OK
2000,6,10,0.290123,,OK
2000,6,Average,0.288897,0.003457,OK
2000,7,1,0.255785,,OK
2000,7,2,0.248480,,OK
2000,7,3,0.245973,,OK
2000,7,4,0.253480,,OK
2000,7,5,0.245203,,OK
2000,7,6,0.247786,,OK
2000,7,7,0.252500,,OK
2000,7,8,0.245604,,OK
2000,7,9,0.246399,,OK
2000,7,10,0.250476,,OK
2000,7,Average,0.249169,0.003520,OK
2000,8,1,0.225642,,OK
2000,8,2,0.216468,,OK
2000,8,3,0.216571,,OK
2000,8,4,0.223902,,OK
2000,8,5,0.216491,,OK
2000,8,6,0.219320,,OK
2000,8,7,0.223140,,OK
2000,8,8,0.215477,,OK
2000,8,9,0.216719,,OK
2000,8,10,0.219641,,OK
2000,8,Average,0.219337,0.003477,OK
2000,9,1,0.205563,,OK
2000,9,2,0.193164,,OK
2000,9,3,0.193259,,OK
2000,9,4,0.200611,,OK
2000,9,5,0.193220,,OK
2000,9,6,0.194698,,OK
2000,9,7,0.199614,,OK
2000,9,8,0.191845,,OK
2000,9,9,0.193114,,OK
2000,9,10,0.194986,,OK
2000,9,Average,0.196007,0.004212,OK
2000,10,1,0.182944,,OK
2000,10,2,0.173641,,OK
2000,10,3,0.174886,,OK
2000,10,4,0.181640,,OK
2000,10,5,0.173672,,OK
2000,10,6,0.175787,,OK
2000,10,7,0.180378,,OK
2000,10,8,0.177132,,OK
2000,10,9,0.174387,,OK
2000,10,10,0.176215,,OK
2000,10,Average,0.177068,0.003225,OK
2500,1,1,3.366523,,OK
2500,1,2,3.366731,,OK
2500,1,3,3.336915,,OK
2500,1,4,3.360518,,OK
2500,1,5,3.338266,,OK
2500,1,6,3.339324,,OK
2500,1,7,3.361265,,OK
2500,1,8,3.408770,,OK
2500,1,9,3.361150,,OK
